  longitude  | latitude  |       speed        
 -122.552452 | 45.620658 |             13.422
  -122.55234 | 45.620648 |              2.237
  -122.55231 | 45.620647 |                  0
 -122.552078 | 45.620627 |              8.948
 -122.551653 |  45.62058 |             13.422
 -122.551438 |  45.62055 |              6.711
 -122.550803 | 45.620493 |              2.237
 -122.550253 | 45.620435 |             17.896
 -122.549878 | 45.620393 |             11.185
 -122.549675 |  45.62037 |              6.711
 -122.549315 | 45.620335 |             13.422
 -122.548623 | 45.620263 |             24.607
 -122.547777 | 45.620173 | 29.081000000000003
  -122.54691 | 45.620082 | 29.081000000000003
 -122.546052 | 45.619987 | 29.081000000000003
 -122.544275 | 45.619795 | 29.081000000000003
 -122.543377 | 45.619695 |             31.318
   -122.5425 |   45.6196 | 29.081000000000003
 -122.541657 | 45.619508 | 29.081000000000003
 -122.540838 | 45.619422 |             26.844
 -122.539987 | 45.619328 | 29.081000000000003
 -122.539132 | 45.619233 | 29.081000000000003
 -122.538313 | 45.619145 |             26.844
 -122.537515 |  45.61906 |             26.844
 -122.536737 | 45.618973 |             26.844
 -122.535972 |  45.61889 |             26.844
   -122.5352 | 45.618807 |             26.844
 -122.534427 |  45.61872 |             26.844
 -122.533658 | 45.618633 |             26.844
 -122.532927 |  45.61855 |             24.607
 -122.532268 | 45.618478 |              22.37
 -122.531905 | 45.618432 |              8.948
 -122.531353 | 45.618378 |              2.237
 -122.530748 | 45.618317 | 20.133000000000003
 -122.530078 | 45.618245 |              22.37
 -122.529322 | 45.618167 |              22.37
  -122.52852 | 45.618078 | 29.081000000000003
 -122.527723 | 45.617992 |             26.844
 -122.526938 | 45.617908 |             26.844
 -122.526168 | 45.617827 |              22.37
 -122.525402 | 45.617745 | 29.081000000000003
 -122.524623 | 45.617658 |             24.607
 -122.523842 | 45.617572 |             26.844
 -122.523077 | 45.617492 |             26.844
 -122.522325 | 45.617412 |             24.607
  -122.52139 | 45.617308 |             26.844
 -122.520747 |  45.61724 |             26.844
  -122.51992 | 45.617155 | 29.081000000000003
 -122.518893 | 45.617047 | 29.081000000000003
 -122.518042 | 45.616957 | 29.081000000000003
 -122.517197 | 45.616865 | 29.081000000000003
 -122.516375 | 45.616777 |             26.844
 -122.515568 | 45.616682 |             26.844
 -122.514763 | 45.616587 |             26.844
 -122.513942 | 45.616488 |             26.844
 -122.513083 | 45.616385 | 29.081000000000003

