,County,TotalPop,State
331,Franklin County,5611,Alabama
332,Franklin County,2565,Alabama
333,Franklin County,4312,Alabama
334,Franklin County,2829,Alabama
335,Franklin County,2752,Alabama
336,Franklin County,2186,Alabama
337,Franklin County,1595,Alabama
338,Franklin County,5879,Alabama
339,Geneva County,4715,Alabama
340,Geneva County,2388,Alabama
341,Geneva County,5534,Alabama
342,Geneva County,5643,Alabama
343,Geneva County,4309,Alabama
344,Geneva County,3983,Alabama
345,Greene County,1669,Alabama
346,Greene County,3677,Alabama
347,Greene County,3187,Alabama
348,Hale County,3632,Alabama
349,Hale County,1417,Alabama
350,Hale County,1675,Alabama
351,Hale County,2014,Alabama
352,Hale County,4783,Alabama
353,Hale County,1474,Alabama
354,Henry County,1794,Alabama
355,Henry County,2870,Alabama
356,Henry County,2761,Alabama
357,Henry County,1753,Alabama
358,Henry County,6446,Alabama
359,Henry County,1486,Alabama
360,Houston County,5535,Alabama
361,Houston County,9825,Alabama
362,Houston County,8580,Alabama
363,Houston County,3869,Alabama
364,Houston County,3701,Alabama
365,Houston County,2473,Alabama
366,Houston County,3607,Alabama
367,Houston County,2184,Alabama
368,Houston County,2966,Alabama
369,Houston County,8618,Alabama
370,Houston County,5050,Alabama
371,Houston County,5204,Alabama
372,Houston County,3672,Alabama
373,Houston County,2236,Alabama
374,Houston County,3427,Alabama
375,Houston County,4000,Alabama
376,Houston County,5147,Alabama
377,Houston County,1279,Alabama
378,Houston County,2040,Alabama
379,Houston County,7669,Alabama
380,Houston County,5824,Alabama
381,Houston County,7202,Alabama
382,Jackson County,6210,Alabama
383,Jackson County,3173,Alabama
384,Jackson County,5708,Alabama
385,Jackson County,2121,Alabama
386,Jackson County,3497,Alabama
387,Jackson County,5812,Alabama
388,Jackson County,4659,Alabama
389,Jackson County,4132,Alabama
390,Jackson County,5599,Alabama
391,Jackson County,4422,Alabama
392,Jackson County,6993,Alabama
393,Jefferson County,3114,Alabama
394,Jefferson County,2124,Alabama
395,Jefferson County,3515,Alabama
396,Jefferson County,3060,Alabama
397,Jefferson County,2739,Alabama
398,Jefferson County,3071,Alabama
399,Jefferson County,4636,Alabama
400,Jefferson County,2803,Alabama
401,Jefferson County,2086,Alabama
402,Jefferson County,2721,Alabama
403,Jefferson County,3118,Alabama
404,Jefferson County,1829,Alabama
405,Jefferson County,3664,Alabama
406,Jefferson County,2299,Alabama
407,Jefferson County,2565,Alabama
408,Jefferson County,3907,Alabama
409,Jefferson County,3237,Alabama
410,Jefferson County,3686,Alabama
411,Jefferson County,4025,Alabama
412,Jefferson County,3806,Alabama
413,Jefferson County,2185,Alabama
414,Jefferson County,3479,Alabama
415,Jefferson County,2424,Alabama
416,Jefferson County,3683,Alabama
417,Jefferson County,1229,Alabama
418,Jefferson County,931,Alabama
419,Jefferson County,2275,Alabama
420,Jefferson County,2239,Alabama
421,Jefferson County,4678,Alabama
422,Jefferson County,4634,Alabama
423,Jefferson County,5191,Alabama
424,Jefferson County,3614,Alabama
425,Jefferson County,1368,Alabama
426,Jefferson County,2990,Alabama
427,Jefferson County,1988,Alabama
428,Jefferson County,5071,Alabama
429,Jefferson County,4005,Alabama
430,Jefferson County,3491,Alabama
431,Jefferson County,1991,Alabama
432,Jefferson County,1134,Alabama
433,Jefferson County,3091,Alabama
434,Jefferson County,3502,Alabama
435,Jefferson County,1933,Alabama
436,Jefferson County,2947,Alabama
437,Jefferson County,4032,Alabama
438,Jefferson County,3405,Alabama
439,Jefferson County,3294,Alabama
440,Jefferson County,2191,Alabama
441,Jefferson County,4730,Alabama
442,Jefferson County,2474,Alabama
443,Jefferson County,2847,Alabama
444,Jefferson County,3704,Alabama
445,Jefferson County,5630,Alabama
446,Jefferson County,5574,Alabama
447,Jefferson County,2213,Alabama
448,Jefferson County,3714,Alabama
449,Jefferson County,2798,Alabama
450,Jefferson County,5819,Alabama
451,Jefferson County,4876,Alabama
452,Jefferson County,4750,Alabama
453,Jefferson County,1284,Alabama
454,Jefferson County,3160,Alabama
455,Jefferson County,2679,Alabama
456,Jefferson County,4026,Alabama
457,Jefferson County,3687,Alabama
458,Jefferson County,2168,Alabama
459,Jefferson County,1316,Alabama
460,Jefferson County,5837,Alabama
461,Jefferson County,2581,Alabama
462,Jefferson County,1518,Alabama
463,Jefferson County,4652,Alabama
464,Jefferson County,2427,Alabama
465,Jefferson County,4950,Alabama
466,Jefferson County,4230,Alabama
467,Jefferson County,4958,Alabama
468,Jefferson County,6044,Alabama
469,Jefferson County,3470,Alabama
470,Jefferson County,6083,Alabama
471,Jefferson County,3014,Alabama
472,Jefferson County,6923,Alabama
473,Jefferson County,4902,Alabama
474,Jefferson County,5756,Alabama
475,Jefferson County,2049,Alabama
476,Jefferson County,7648,Alabama
477,Jefferson County,11401,Alabama
478,Jefferson County,4859,Alabama
479,Jefferson County,4117,Alabama
480,Jefferson County,5964,Alabama
481,Jefferson County,7927,Alabama
482,Jefferson County,2248,Alabama
483,Jefferson County,5260,Alabama
484,Jefferson County,5564,Alabama
485,Jefferson County,3933,Alabama
486,Jefferson County,3555,Alabama
487,Jefferson County,4237,Alabama
488,Jefferson County,3189,Alabama
489,Jefferson County,6350,Alabama
490,Jefferson County,7157,Alabama
491,Jefferson County,5516,Alabama
492,Jefferson County,3720,Alabama
493,Jefferson County,9431,Alabama
494,Jefferson County,3482,Alabama
495,Jefferson County,7518,Alabama
496,Jefferson County,2445,Alabama
497,Jefferson County,7082,Alabama
498,Jefferson County,4775,Alabama
499,Jefferson County,2841,Alabama
500,Jefferson County,2669,Alabama
501,Jefferson County,2298,Alabama
502,Jefferson County,4741,Alabama
503,Jefferson County,7622,Alabama
504,Jefferson County,4146,Alabama
505,Jefferson County,2766,Alabama
506,Jefferson County,4245,Alabama
507,Jefferson County,3550,Alabama
508,Jefferson County,2735,Alabama
509,Jefferson County,7733,Alabama
510,Jefferson County,3903,Alabama
511,Jefferson County,2419,Alabama
512,Jefferson County,3403,Alabama
513,Jefferson County,4093,Alabama
514,Jefferson County,2939,Alabama
515,Jefferson County,3664,Alabama
516,Jefferson County,6099,Alabama
517,Jefferson County,2100,Alabama
518,Jefferson County,2704,Alabama
519,Jefferson County,4725,Alabama
520,Jefferson County,4351,Alabama
521,Jefferson County,6158,Alabama
522,Jefferson County,4589,Alabama
523,Jefferson County,5689,Alabama
524,Jefferson County,3505,Alabama
525,Jefferson County,5661,Alabama
526,Jefferson County,4569,Alabama
527,Jefferson County,4738,Alabama
528,Jefferson County,2023,Alabama
529,Jefferson County,6236,Alabama
530,Jefferson County,1636,Alabama
531,Jefferson County,4493,Alabama
532,Jefferson County,2144,Alabama
533,Jefferson County,3581,Alabama
534,Jefferson County,4955,Alabama
535,Jefferson County,3364,Alabama
536,Jefferson County,2057,Alabama
537,Jefferson County,1809,Alabama
538,Jefferson County,2247,Alabama
539,Jefferson County,3734,Alabama
540,Jefferson County,3715,Alabama
541,Jefferson County,4337,Alabama
542,Jefferson County,3329,Alabama
543,Jefferson County,4673,Alabama
544,Jefferson County,12771,Alabama
545,Jefferson County,9922,Alabama
546,Jefferson County,2614,Alabama
547,Jefferson County,7732,Alabama
548,Jefferson County,5642,Alabama
549,Jefferson County,4167,Alabama
550,Jefferson County,5905,Alabama
551,Jefferson County,3537,Alabama
552,Jefferson County,3341,Alabama
553,Jefferson County,5337,Alabama
554,Jefferson County,4430,Alabama
555,Jefferson County,9853,Alabama
556,Lamar County,4572,Alabama
557,Lamar County,5379,Alabama
558,Lamar County,4070,Alabama
559,Lauderdale County,1979,Alabama
560,Lauderdale County,1996,Alabama
561,Lauderdale County,983,Alabama
562,Lauderdale County,3128,Alabama
563,Lauderdale County,3132,Alabama
564,Lauderdale County,1885,Alabama
565,Lauderdale County,3952,Alabama
566,Lauderdale County,6841,Alabama
567,Lauderdale County,4707,Alabama
568,Lauderdale County,6010,Alabama
569,Lauderdale County,4260,Alabama
570,Lauderdale County,4130,Alabama
571,Lauderdale County,2239,Alabama
572,Lauderdale County,6559,Alabama
573,Lauderdale County,6778,Alabama
